,Speech
77,"It was tough, tough going"
78,"Because the thing about a rocket is, the passing grade is 100%"
79,And you don’t get to actually test the rocket in the real environment that is going to be  in
80,"So, I think to the best analogy for rocket engineers is, if you want to create a really  complicated beta software, you can’t run the software as an integrated whole, and you  can’t run it on the computer, it’s intended to run on"
81,"For the first time you put it all together and run it on that computer, it must run with  no bugs"
82,That’s basically the essence of it
83,"So, we missed the mark there"
84,"Think about a rocket, the passing grade is 100%"
85,And you don’t get to actually test the rocket in the real environment that is going to be  in
86,"So, I think the best analogy for rocket engineers is, if you want to create a really complicated  software, you can’t run the software as an integrated whole, and you can’t run it  on the computer, it’s intended to run on, but the first time you run it on the computer,  it must run with no bugs"
87,That’s basically the essence of it
88,"So, we missed the mark there"
89,"The first launch, I was picking up bits of rocket near the launch site, it was a bit  sad"
90,And we learned with each successive flight
91,"And we were able to, eventually with the fourth flight in 2008, reach orbit"
92,That was also with the last bit of money that we had
93,Thank goodness that happened
94,"I think the saying is ‘fourth time is the charm?’  So, we got the Falcon 1 to orbit"
95,"And then, began to scale it up to the Falcon 9 which is about an order of magnitude more  thrust, it’s around a million pounds of thrust"
96,"We managed to get that to orbit, and then developed the Dragon spacecraft, which recently  was able to dock and returned to earth from the space station"
97,That   was a white-knuckle event
98,It is a huge relief
99,I still can’t believe it actually happened
100,But there’s lot more that must happen beyond this in order for humanity to become a spacefaring  civilization and ultimately a multi-planet species
101,And that’s something I think it’s vitally important
102,And I hope that some of you will participate in that either at SpaceX or other companies
103,Because it’s just really one of the most important things for the preservation and  extension of consciousness
104,"It’s worth noting as I’m sure people are aware that Earth has been around for 4 billion  years, but civilization in terms of having writing has been about 10,000 years, and that’s  being generous"
105,"So, it’s really somewhat of a tenuous existence that civilization and consciousness has been  on earth"
106,I’m actually fairly optimistic about the future of earth
107,I don’t want to people sort of have the wrong impression like we’re all about to  die
108,I think things will most likely be okay for a long time on earth
109,"Not for sure, but, most likely"
110,"But even if it’s 99% likely, a 1% chance is still worth spending a fair bit of effort  to ensure that we have — back up the biosphere, and planetary redundancy if you will"
111,And I think it’s really quite important
112,"And in order to do that, there’s breakthrough that needs to occur which is to create a rapidly  and completely reusable transport system to Mars, which is one of those things that’s  right on the borderline of even impossible"
113,But that’s the sort of the thing that we’re going to try to achieve with SpaceX
114,"And then, on the Tesla front, the goal with Tesla was really to try to show what electric  cars can do"
115,"Because people had the wrong impression, and we had to change people’s perceptions of  electric vehicle"
116,"Because they used to think of it as something that was slow and ugly, with low range, like  a golf cart"
117,"So, that’s why we created the Tesla Roadster, to show that it can be fast, attractive and  long range"
118,"And it’s amazing how — even though you can show that something works on paper, and  the calculations are very clear, until you actually have the physical object, and they  can drive it, it doesn’t really sink in for people"
119,So that I think is something worth nothing
120,"If you’re going to create a company, the first thing you should try to do is create  a working prototype"
121,Everything looks great on PowerPoint
122,You can make anything work on PowerPoint
123,"But, if you have an actual demonstration article, even if it’s in primitive form, that’s  much more effective in convincing people"
124,"So, we made the Tesla Roadster, and now we’re coming out soon with model S, which is a 4-door  sedan"
125,"Because after we made the Tesla Roadster people said, ‘oh sure, sure we always knew you  could make a car like that, it’s an expensive car and it’s low volume and small and all  that but can you make a real car?’  Okay, fine, we’re going to make that, too"
126,"So, that’s coming out soon"
127,"And so that’s where things are and hopefully, there are lessons to be drawn there"
128,I think the overreaching point I want to make is that: You guys are the magicians of the  21st century
129,Don’t let anything hold you back
130,Imagination is the limit
131,Go out there and create some magic
132," Well, it goes back to when I was in university"
133," I thought about, what are the problems that are most likely to affect the future of the world or the future of humanity? I think it's extremely important that we have sustainable transport and sustainable energy production"
134," That sort of overall sustainable energy problem is the biggest problem that we have to solve this century, independent of environmental concerns"
135," In fact, even if producing CO2 was good for the environment, given that we're going to run out of hydrocarbons, we need to find some sustainable means of operating"
136, There's two elements to that answer
137," One is that, even if you take the same source fuel and produce power at the power plant and use it to charge electric cars, you're still better off"
138," So if you take, say, natural gas, which is the most prevalent hydrocarbon source fuel, if you burn that in a modern General Electric natural gas turbine, you'll get about 60 percent efficiency"
139," If you put that same fuel in an internal combustion engine car, you get about 20 percent efficiency"
140," And the reason is, in the stationary power plant, you can afford to have something that weighs a lot more, is voluminous, and you can take the waste heat and run a steam turbine and generate a secondary power source"
141," So in effect, even after you've taken transmission loss into account and everything, even using the same source fuel, you're at least twice as better off charging an electric car, then burning it at the power plant"
142," Yes, it does"
143," And then the other point is, we have to have sustainable means of power generation anyway, electricity generation"
144," So given that we have to solve sustainable electricity generation, then it makes sense for us to have electric cars as the mode of transport"
145," So, in order to accelerate the advent of electric transport, and I should say that I think, actually, all modes of transport will become fully electric with the ironic exception of rockets"
146, There's just no way around Newton's third law
147," The question is how do you accelerate the advent of electric transport? And in order to do that for cars, you have to come up with a really energy efficient car, so that means making it incredibly light, and so what you're seeing here is the only all-aluminum body and chassis car made in North America"
148," In fact, we applied a lot of rocket design techniques to make the car light despite having a very large battery pack"
149, And then it also has the lowest drag coefficient of any car of its size
150," So as a result, the energy usage is very low, and it has the most advanced battery pack, and that's what gives it the range that's competitive, so you can actually have on the order of a 250-mile range"
151," The rest of the car has to be very light to offset the mass of the pack, and then you have to have a low drag coefficient so that you have good highway range"
152," And in fact, customers of the Model S are sort of competing with each other to try to get the highest possible range"
153, I think somebody recently got 420 miles out of a single charge
154," In creating an electric car, the responsiveness of the car is really incredible"
155," So we wanted really to have people feel as though they've almost got to mind meld with the car, so you just feel like you and the car are kind of one, and as you corner and accelerate, it just happens, like the car has ESP"
156, You can do that with an electric car because of its responsiveness
157, You can't do that with a gasoline car
158," I think that's really a profound difference, and people only experience that when they have a test drive"
159," The goal of Tesla has always been to have a sort of three-step process, where version one was an expensive car at low volume, version two is medium priced and medium volume, and then version three would be low price, high volume"
160, So we're at step two at this point
161," So we had a $100,000 sports car, which was the Roadster"
162," Then we've got the Model S, which starts at around 50,000 dollars"
163," And our third generation car, which should hopefully be out in about three or four years will be a $30,000 car"
164," But whenever you've got really new technology, it generally takes about three major versions in order to make it a compelling mass-market product"
165," And so I think we're making progress in that direction, and I feel confident that we'll get there"
166," There actually are far more charging stations than people realize, and at Tesla we developed something called a Supercharging technology, and we're offering that if you buy a Model S for free, forever"
167, And so this is something that maybe a lot of people don't realize
168," We actually have California and Nevada covered, and we've got the Eastern seaboard from Boston to D.C"
169," By the end of this year, you'll be able to drive from L.A"
170," to New York just using the Supercharger network, which charges at five times the rate of anything else"
171," And the key thing is to have a ratio of drive to stop, to stop time, of about six or seven"
172," So if you drive for three hours, you want to stop for 20 or 30 minutes, because that's normally what people will stop for"
173," So if you start a trip at 9 a.m., by noon you want to stop to have a bite to eat, hit the restroom, coffee, and keep going"
174," Actually, what we're expecting is for people to stop for about 20 to 30 minutes, not for an hour"
175," It's actually better to drive for about maybe 160, 170 miles and then stop for half an hour and then keep going"
176, That's the natural cadence of a trip
177," Well, as I mentioned earlier, we have to have sustainable electricity production as well as consumption, so I'm quite confident that the primary means of power generation will be solar"
178," I mean, it's really indirect fusion, is what it is"
179," We've got this giant fusion generator in the sky called the sun, and we just need to tap a little bit of that energy for purposes of human civilization"
180, What most people know but don't realize they know is that the world is almost entirely solar-powered already
181," If the sun wasn't there, we'd be a frozen ice ball at three degrees Kelvin, and the sun powers the entire system of precipitation"
182, The whole ecosystem is solar-powered
183," Well actually, I'm confident that solar will beat everything, hands down, including natural gas"
184," It must, actually"
185," If it doesn't, we're in deep trouble"
186," No, we actually are"
187, You can buy a solar system or you can lease a solar system
188, Most people choose to lease
189," And the thing about solar power is that it doesn't have any feed stock or operational costs, so once it's installed, it's just there"
190, It works for decades
191, It'll work for probably a century
192," And we've made huge progress in that direction, and that's why I'm confident we'll actually beat natural gas"
193," Typical leases are 20 years, but the value proposition is, as you're sort of alluding to, quite straightforward"
194," It's no money down, and your utility bill decreases"
195, Pretty good deal
196," Well, essentially, SolarCity raises a chunk of capital from say, a company or a bank"
197, Google is one of our big partners here
198, And they have an expected return on that capital
199," With that capital, SolarCity purchases and installs the panel on the roof and then charges the homeowner or business owner a monthly lease payment, which is less than the utility bill"
200, What it amounts to is a giant distributed utility
201," I think it's a good thing, because utilities have been this monopoly, and people haven't had any choice"
202," So effectively it's the first time there's been competition for this monopoly, because the utilities have been the only ones that owned those power distribution lines, but now it's on your roof"
203, So I think it's actually very empowering for homeowners and businesses
204," I'm extremely confident that solar will be at least a plurality of power, and most likely a majority, and I predict it will be a plurality in less than 20 years"
205, I made that bet with someone 
206, More from solar than any other source
207, With a friend who will remain nameless
208," I made that bet, I think, two or three years ago, so in roughly 18 years, I think we'll see more power from solar than any other source"
209," I got that question a lot, that's true"
210," People would say, ""Did you hear the joke about the guy who made a small fortune in the space industry?"" Obviously, ""He started with a large one,"" is the punchline"
211," And so I tell people, well, I was trying to figure out the fastest way to turn a large fortune into a small one"
212," And they'd look at me, like, ""Is he serious?"""
213, It was a close call
214, Things almost didn't work out
215," We came very close to failure, but we managed to get through that point in 2008"
216," The goal of SpaceX is to try to advance rocket technology, and in particular to try to crack a problem that I think is vital for humanity to become a space-faring civilization, which is to have a rapidly and fully reusable rocket"
217," I did build rockets when I was a kid, but I didn't think I'd be involved in this"
218," It was really more from the standpoint of what are the things that need to happen in order for the future to be an exciting and inspiring one? And I really think there's a fundamental difference, if you sort of look into the future, between a humanity that is a space-faring civilization, that's out there exploring the stars, on multiple planets, and I think that's really exciting, compared with one where we are forever confined to Earth until some eventual extinction event"
219," Well, we've made significant advances in the technology of the airframe, the engines, the electronics and the launch operation"
220," No, we don't patent"
221," Since our primary competitors are national governments, the enforceability of patents is questionable"
222," Right, so the big innovation—"
223, So the thing about rockets is that they're all expendable
224, All rockets that fly today are fully expendable
225," The space shuttle was an attempt at a reusable rocket, but even the main tank of the space shuttle was thrown away every time, and the parts that were reusable took a 10,000-person group nine months to refurbish for flight"
226, So the space shuttle ended up costing a billion dollars per flight
227, Obviously that doesn't work very well for —
228," So it's important that the rocket stages be able to come back, to be able to return to the launch site and be ready to launch again within a matter of hours"
229,"  And so what a lot of people don't realize is, the cost of the fuel, of the propellant, is very small"
230, It's much like on a jet
231, So the cost of the propellant is about .3 percent of the cost of the rocket
232," So it's possible to achieve, let's say, roughly 100-fold improvement in the cost of spaceflight if you can effectively reuse the rocket"
233, That's why it's so important
234," Every mode of transport that we use, whether it's planes, trains, automobiles, bikes, horses, is reusable, but not rockets"
235, So we must solve this problem in order to become a space-faring civilization
236, Certain cruises are apparently highly problematic
237," We're actually, we've been making some good progress recently with something we call the Grasshopper Test Project, where we're testing the vertical landing portion of the flight, the sort of terminal portion which is quite tricky"
238, And we've had some good tests
239, So that's just to give a sense of scale
240, We dressed a cowboy as Johnny Cash and bolted the mannequin to the rocket
241," Yeah, so that rocket is about the size of a 12-story building"
242," (Rocket launch) So now it's hovering at about 40 meters, and it's constantly adjusting the angle, the pitch and yaw of the main engine, and maintaining roll with cold gas thrusters"
243," I don't know, actually"
244, I don't have a good answer for you
245, I work a lot
246," I mean, a lot"
247," Well, I do think there's a good framework for thinking"
248, It is physics
249," You know, the sort of first principles reasoning"
250," Through most of our life, we get through life by reasoning by analogy, which essentially means copying what other people do with slight variations"
251, And you have to do that
252," Otherwise, mentally, you wouldn't be able to get through the day"
253," But when you want to do something new, you have to apply the physics approach"
254," Physics is really figuring out how to discover new things that are counterintuitive, like quantum mechanics"
255, It's really counterintuitive
256," So I think that's an important thing to do, and then also to really pay attention to negative feedback, and solicit it, particularly from friends"
257," This may sound like simple advice, but hardly anyone does that, and it's incredibly helpful"
258, Thanks for having me
259, I ask myself that frequently
260," We're trying to dig a hole under LA, and this is to create the beginning of what will hopefullybe a 3D network of tunnels to alleviate congestion"
261," So right now, one of the mostsoul-destroying things is traffic"
262, It affects peoplein every part of the world
263, It takes away so much of your life
264, It's particularly horrible in LA
265, So a couple of key thingsthat are important in having a 3D tunnel network
266," First of all, you have to be able to integrate the entranceand exit of the tunnel seamlessly into the fabric of the city"
267," So by having an elevator, sort of a car skate,that's on an elevator, you can integrate the entranceand exits to the tunnel network just by using two parking spaces"
268, And then the car gets on a skate
269," There's no speed limit here, so we're designing this to be ableto operate at 200 kilometers an hour"
270," 200 kilometers an hour,or about 130 miles per hour"
271," So, I don't knowif people noticed it in the video, but there's no real limitto how many levels of tunnel you can have"
272, You can go much further deepthan you can go up
273," The deepest mines are much deeperthan the tallest buildings are tall, so you can alleviate any arbitrarylevel of urban congestion with a 3D tunnel network"
274, This is a very important point
275," So a key rebuttal to the tunnelsis that if you add one layer of tunnels, that will simply alleviate congestion,it will get used up, and then you'll be back where you started,back with congestion"
276," But you can go to anyarbitrary number of tunnels, any number of levels"
277," Well, they're right"
278, So it's roughly a billion dollars a mileto do the subway extension in LA
279, And this is not the highestutility subway in the world
280," So yeah, it's quite difficultto dig tunnels normally"
281, I think we need to haveat least a tenfold improvement in the cost per mile of tunneling
282," Actually, if you just do two things, you can get to approximatelyan order of magnitude improvement, and I think you can go beyond that"
283, So the first thing to dois to cut the tunnel diameter by a factor of two or more
284," So a single road lane tunnelaccording to regulations has to be 26 feet,maybe 28 feet in diameter to allow for crashesand emergency vehicles and sufficient ventilationfor combustion engine cars"
285," But if you shrink that diameterto what we're attempting, which is 12 feet, which is plentyto get an electric skate through, you drop the diameter by a factor of two and the cross-sectional areaby a factor of four, and the tunneling cost scaleswith the cross-sectional area"
286, So that's roughly a half-orderof magnitude improvement right there
287," Then tunneling machines currently tunnelfor half the time, then they stop, and then the rest of the timeis putting in reinforcements for the tunnel wall"
288," So if you design the machine instead to do continuoustunneling and reinforcing, that will give youa factor of two improvement"
289, Combine that and that's a factor of eight
290," Also these machines are far from beingat their power or thermal limits, so you can jack up the powerto the machine substantially"
291," I think you can getat least a factor of two, maybe a factor of four or fiveimprovement on top of that"
292, We want to beat Gary
293,"  He's not a patient little fellow, and that will be victory"
294, Victory is beating the snail
295, I'm in favor of flying things
296," Obviously, I do rockets,so I like things that fly"
297," This is not some inherent biasagainst flying things, but there is a challenge with flying cars in that they'll be quite noisy, the wind force generatedwill be very high"
298," Let's just say that if something'sflying over your head, a whole bunch of flying carsgoing all over the place, that is not an anxiety-reducing situation"
299,"  You don't think to yourself,""Well, I feel better about today."" You're thinking,""Did they service their hubcap, or is it going to come offand guillotine me?"" Things like that"
300," Yeah, so we've beensort of puttering around with the Hyperloop stuff for a while"
301," We built a Hyperloop test trackadjacent to SpaceX, just for a student competition, to encourage innovativeideas in transport"
302," And it actually ends up beingthe biggest vacuum chamber in the world after the Large Hadron Collider, by volume"
303, So we're cautiously optimistic we'll be able to be fasterthan the world's fastest bullet train even in a .8-mile stretch
304, It's either going to smashinto tiny pieces or go quite fast
305," So to go to vacuum is only one atmosphere, or near-vacuum"
306," So actually, it sort of turns outthat automatically, if you build a tunnel that is good enoughto resist the water table, it is automaticallycapable of holding vacuum"
307, I think there's no real length limit
308, You could dig as much as you want
309," I think if you were to do something like a DC-to-New York Hyperloop, I think you'd probably wantto go underground the entire way because it's a high-density area"
310," You're going undera lot of buildings and houses, and if you go deep enough, you cannot detect the tunnel"
311," Sometimes people think,well, it's going to be pretty annoying to have a tunnel dug under my house"
312," Like, if that tunnel is dug more than about three or fourtunnel diameters beneath your house, you will not be ableto detect it being dug at all"
313," In fact, if you're ableto detect the tunnel being dug, whatever device you are using, you can get a lot of moneyfor that device from the Israeli military, who is trying to detecttunnels from Hamas, and from the US Customs and Border patrolthat try and detect drug tunnels"
314," So the reality is that earth is incredibly goodat absorbing vibrations, and once the tunnel depthis below a certain level, it is undetectable"
315," Maybe if you have a very sensitiveseismic instrument, you might be able to detect it"
316, What's funny about that? 
317, It's maybe ..
318, two or three percent
319, We bought some second-hand machinery
320," A lot of people thinkthat when you make cars autonomous, they'll be able to go fasterand that will alleviate congestion"
321," And to some degree that will be true, but once you have shared autonomywhere it's much cheaper to go by car and you can go point to point, the affordability of going in a carwill be better than that of a bus"
322," Like, it will cost less than a bus ticket"
323," So the amount of driving that will occurwill be much greater with shared autonomy, and actually traffic will get far worse"
324,  I don't know
325, I don't know
326, I think almost every automakerhas some electric vehicle program
327, They vary in seriousness
328," Some are very seriousabout transitioning entirely to electric, and some are just dabbling in it"
329," And some, amazingly,are still pursuing fuel cells, but I think that won't last much longer"
330," I intend to stay with Teslaas far into the future as I can imagine, and there are a lot of excitingthings that we have coming"
331, Obviously the Model 3 is coming soon
332, We'll be unveiling the Tesla Semi truck
333," Yeah, it's looking quite goodfor starting production in July"
334," Yeah, so this is usingonly cameras and GPS"
335, So there's no LIDARor radar being used here
336," This is just using passive optical,which is essentially what a person uses"
337," The whole road systemis meant to be navigated with passive optical, or cameras, and so once you solve cameras or vision, then autonomy is solved"
338," If you don't solve vision,it's not solved"
339, So that's why our focus isso heavily on having a vision neural net that's very effective for road conditions
340, You can absolutelybe superhuman with just cameras
341," Like, you can probably do itten times better than humans would, just cameras"
342," I think we're still on trackfor being able to go cross-country from LA to New York by the endof the year, fully autonomous"
343," Essentially,November or December of this year, we should be able to go all the wayfrom a parking lot in California to a parking lot in New York, no controls touched at any pointduring the entire journey"
344," Yes, but the thingthat will be interesting is that I'm actually fairly confidentit will be able to do that route even if you change the route dynamically"
345, So it's not sort of limitedto LA to New York
346," We could change itand make it Seattle-Florida, that day, in real time"
347, So you were going from LA to New York
348, Now go from LA to Toronto
349, I think that's about two years
350," So the real trick of itis not how do you make it work say 99.9 percent of the time, because, like, if a car crashesone in a thousand times, then you're probably still not goingto be comfortable falling asleep"
351," You shouldn't be, certainly"
352,  It's never going to be perfect
353," Well, I think that the autonomy systemis likely to at least mitigate the crash, except in rare circumstances"
354, The thing to appreciateabout vehicle safety is this is probabilistic
355," I mean, there's some chance that any timea human driver gets in a car, that they will have an accidentthat is their fault"
356, It's never zero
357, So really the key threshold for autonomy is how much better does autonomyneed to be than a person before you can rely on it?
358, Absolutelythis is what will happen
359," So there will be a shared autonomy fleet where you buy your car and you can chooseto use that car exclusively, you could choose to have it be usedonly by friends and family, only by other driverswho are rated five star, you can choose to share it sometimesbut not other times"
360, That's 100 percent what will occur
361, It's just a question of when
362, I will show youa teaser shot of the truck
363,  It's alive
364, That's definitely a casewhere we want to be cautious about the autonomy features
365," So this is a heavy duty,long-range semitruck"
366, So it's the highest weight capability and with long range
367, So essentially it's meant to alleviatethe heavy-duty trucking loads
368, And this is something whichpeople do not today think is possible
369," They think the truck doesn't have enoughpower or it doesn't have enough range, and then with the Tesla Semi we want to show that no, an electric truck actually can out-torque any diesel semi"
370," And if you had a tug-of-war competition, the Tesla Semiwill tug the diesel semi uphill"
371," So what will bereally fun about this is you have a flat torque RPM curvewith an electric motor, whereas with a diesel motor or any kindof internal combustion engine car, you've got a torque RPM curvethat looks like a hill"
372, So this will be a very spry truck
373, You can drive thisaround like a sports car
374," There's no gears.It's, like, single speed"
375, It's quite bizarre test-driving
376, When I was driving the test prototypefor the first truck
377," It's really weird,because you're driving around and you're just so nimble,and you're in this giant truck"
378," Yeah, I drove itaround the parking lot, and I was like, this is crazy"
379," It's just like,driving this giant truck and making these mad maneuvers"
380," Well, this illustratesthe picture of the future that I think is how things will evolve"
381, You've got an electric carin the driveway
382," If you look in betweenthe electric car and the house, there are actually three Powerwallsstacked up against the side of the house, and then that house roof is a solar roof"
383, So that's an actual solar glass roof
384, That's a real fake house
385," Solar glass tiles where you can adjustthe texture and the color to a very fine-grained level, and then there'ssort of microlouvers in the glass, such that when you're lookingat the roof from street level or close to street level, all the tiles look the same whether there is a solar cellbehind it or not"
386, So you have an even color from the ground level
387," If you were to look at itfrom a helicopter, you would be actually ableto look through and see that some of the glass tiles havea solar cell behind them and some do not"
388, You can't tell from street level
389," Well after the house has collapsed and there's nothing there, the glass tiles will still be there"
390," Yeah, we're starting offwith two, two initially, and the second twowill be introduced early next year"
391, I think eventually almost all houses will have a solar roof
392, The thing is to considerthe time scale here to be probably on the order of 40 or 50 years
393," So on average, a roofis replaced every 20 to 25 years"
394, But you don't start replacingall roofs immediately
395," But eventually,if you say were to fast-forward to say 15 years from now, it will be unusual to have a roofthat does not have solar"
396," It depends on where you are and what the house size isrelative to the roof area, but it's a fair statement to say that most houses in the UShave enough roof area to power all the needs of the house"
397," Yeah, so that's the Gigafactory, progress so far on the Gigafactory"
398," Eventually, you can sort of roughly see that there's sort ofa diamond shape overall, and when it's fully done,it'll look like a giant diamond, or that's the idea behind it, and it's aligned on true north"
399, It's a small detail
400," A hundred gigawatt hours.We think probably more, but yeah"
401, They're in production already
402, That's the slowed down version
403," Well, when it's running at full speed, you can't actually see the cellswithout a strobe light"
404, It's just blur
405," It's about a hundred, roughly"
406," It's not 10, it's not a thousand"
407, Most likely a hundred
408, I think we'll announce locations for somewhere between twoand four Gigafactories later this year
409," Yeah, probably four"
410, We need to address a global market
411," Well, I think that first of all, I'm just on two advisory councils where the format consistsof going around the room and asking people's opinion on things, and so there's like a meetingevery month or two"
412, That's the sum total of my contribution
413," But I think to the degreethat there are people in the room who are arguing in favorof doing something about climate change, or social issues, I've used the meetings I've had thus far to argue in favor of immigrationand in favor of climate change"
414,"  And if I hadn't done that, that wasn't on the agenda before"
415," So maybe nothing will happen,but at least the words were said"
416, It took a long time
417, So this is one of our rocket boosters coming back fromvery high and fast in space
418, So just delivered the upper stage at high velocity
419," I think this might have beenat sort of Mach 7 or so, delivery of the upper stage"
420, That was the slowed down version
421, We're at eight or nine
422," Yeah, so we landed the rocket booster and then prepped it for flight againand flew it again, so it's the first reflightof an orbital booster where that reflight is relevant"
423, So it's important to appreciatethat reusability is only relevant if it is rapid and complete
424," So like an aircraft or a car, the reusability is rapid and complete"
425, You do not send your aircraftto Boeing in-between flights
426," Well, visuallyyou can see that's a person"
427," Yeah, and that's the vehicle"
428," Probably a little more, yeah"
429,"  In units of 747, a 747 is only abouta quarter of a million pounds of thrust, so for every 10 million pounds of thrust, there's 40 747s"
430," So this would be the thrust equivalentof 120 747s, with all engines blazing"
431, I'm hopeful it's sort ofan eight- to 10-year time frame
432," Aspirationally, that's our target"
433," While vehicle seems quite large and is large by comparisonwith other rockets, I think the future spacecraft will make this look like a rowboat"
434, The future spaceshipswill be truly enormous
435, I think it's important to have a future that is inspiring and appealing
436, I just think there have to be reasons that you get up in the morningand you want to live
437," Like, why do you want to live? What's the point? What inspires you? What do you love about the future? And if we're not out there, if the future does not includebeing out there among the stars and being a multiplanet species, I find that it's incredibly depressing if that's not the futurethat we're going to have"
438," It's like a branchingstream of probabilities, and there are actions that we can takethat affect those probabilities or that accelerate one thingor slow down another thing"
439, I may introduce something newto the probability stream
440, Sustainable energywill happen no matter what
441," If there was no Tesla,if Tesla never existed, it would have to happen out of necessity"
442," If you don't have sustainable energy,it means you have unsustainable energy"
